source,relation,target
Enalapril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Enalapril,TRANSPORTED_BY,PEPT1
Enalapril,TRANSPORTED_BY,PEPT2
Enalapril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Enalapril,CAUSES,Dry cough
Enalapril,CAUSES,Hyperkalemia
Enalapril,CAUSES,Angioedema
Enalapril,CAUSES,Hypotension
Ramipril,TARGETS,Angiotensin-converting enzyme (ACE)
Ramipril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Ramipril,TRANSPORTED_BY,PEPT1
Ramipril,TRANSPORTED_BY,PEPT2
Ramipril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Ramipril,CAUSES,Dry cough
Ramipril,CAUSES,Hyperkalemia
Ramipril,CAUSES,Angioedema
Ramipril,CAUSES,Hypotension
Captopril,TARGETS,Angiotensin-converting enzyme (ACE)
Captopril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Captopril,TRANSPORTED_BY,PEPT1
Captopril,TRANSPORTED_BY,PEPT2
Captopril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Captopril,CAUSES,Dry cough
Captopril,CAUSES,Hyperkalemia
Captopril,CAUSES,Angioedema
Captopril,CAUSES,Hypotension
Benazepril,TARGETS,Angiotensin-converting enzyme (ACE)
Benazepril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Benazepril,TRANSPORTED_BY,PEPT1
Benazepril,TRANSPORTED_BY,PEPT2
Benazepril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Benazepril,CAUSES,Dry cough
Benazepril,CAUSES,Hyperkalemia
Benazepril,CAUSES,Angioedema
Benazepril,CAUSES,Hypotension
Quinapril,TARGETS,Angiotensin-converting enzyme (ACE)
Quinapril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Quinapril,TRANSPORTED_BY,PEPT1
Quinapril,TRANSPORTED_BY,PEPT2
Quinapril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Quinapril,CAUSES,Dry cough
Quinapril,CAUSES,Hyperkalemia
Quinapril,CAUSES,Angioedema
Quinapril,CAUSES,Hypotension
Perindopril,TARGETS,Angiotensin-converting enzyme (ACE)
Perindopril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Perindopril,TRANSPORTED_BY,PEPT1
Perindopril,TRANSPORTED_BY,PEPT2
Perindopril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Perindopril,CAUSES,Dry cough
Perindopril,CAUSES,Hyperkalemia
Perindopril,CAUSES,Angioedema
Perindopril,CAUSES,Hypotension
Fosinopril,TARGETS,Angiotensin-converting enzyme (ACE)
Fosinopril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Fosinopril,TRANSPORTED_BY,PEPT1
Fosinopril,TRANSPORTED_BY,PEPT2
Fosinopril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Fosinopril,CAUSES,Dry cough
Fosinopril,CAUSES,Hyperkalemia
Fosinopril,CAUSES,Angioedema
Fosinopril,CAUSES,Hypotension
Trandolapril,TARGETS,Angiotensin-converting enzyme (ACE)
Trandolapril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Trandolapril,TRANSPORTED_BY,PEPT1
Trandolapril,TRANSPORTED_BY,PEPT2
Trandolapril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Trandolapril,CAUSES,Dry cough
Trandolapril,CAUSES,Hyperkalemia
Trandolapril,CAUSES,Angioedema
Trandolapril,CAUSES,Hypotension
Moexipril,TARGETS,Angiotensin-converting enzyme (ACE)
Moexipril,METABOLIZED_BY,Not significantly metabolized by CYP (renal elimination)
Moexipril,TRANSPORTED_BY,PEPT1
Moexipril,TRANSPORTED_BY,PEPT2
Moexipril,PARTICIPATES_IN,Renin-angiotensin-aldosterone system (RAAS)
Moexipril,CAUSES,Dry cough
Moexipril,CAUSES,Hyperkalemia
Moexipril,CAUSES,Angioedema
Moexipril,CAUSES,Hypotension
Omeprazole,TARGETS,H+/K+-ATPase
Omeprazole,METABOLIZED_BY,CYP2C19
Omeprazole,METABOLIZED_BY,CYP3A4
Omeprazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Omeprazole,PARTICIPATES_IN,Gastric acid secretion pathway
Omeprazole,CAUSES,Hypomagnesemia
Omeprazole,CAUSES,Clostridium difficile-associated diarrhea
Omeprazole,CAUSES,Headache
Omeprazole,CAUSES,Osteoporosis risk
Esomeprazole,TARGETS,H+/K+-ATPase
Esomeprazole,METABOLIZED_BY,CYP2C19
Esomeprazole,METABOLIZED_BY,CYP3A4
Esomeprazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Esomeprazole,PARTICIPATES_IN,Gastric acid secretion pathway
Esomeprazole,CAUSES,Hypomagnesemia
Esomeprazole,CAUSES,Clostridium difficile-associated diarrhea
Esomeprazole,CAUSES,Headache
Esomeprazole,CAUSES,Osteoporosis risk
Lansoprazole,TARGETS,H+/K+-ATPase
Lansoprazole,METABOLIZED_BY,CYP2C19
Lansoprazole,METABOLIZED_BY,CYP3A4
Lansoprazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Lansoprazole,PARTICIPATES_IN,Gastric acid secretion pathway
Lansoprazole,CAUSES,Hypomagnesemia
Lansoprazole,CAUSES,Clostridium difficile-associated diarrhea
Lansoprazole,CAUSES,Headache
Lansoprazole,CAUSES,Osteoporosis risk
Pantoprazole,TARGETS,H+/K+-ATPase
Pantoprazole,METABOLIZED_BY,CYP2C19
Pantoprazole,METABOLIZED_BY,CYP3A4
Pantoprazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Pantoprazole,PARTICIPATES_IN,Gastric acid secretion pathway
Pantoprazole,CAUSES,Hypomagnesemia
Pantoprazole,CAUSES,Clostridium difficile-associated diarrhea
Pantoprazole,CAUSES,Headache
Pantoprazole,CAUSES,Osteoporosis risk
Rabeprazole,TARGETS,H+/K+-ATPase
Rabeprazole,METABOLIZED_BY,CYP2C19
Rabeprazole,METABOLIZED_BY,CYP3A4
Rabeprazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Rabeprazole,PARTICIPATES_IN,Gastric acid secretion pathway
Rabeprazole,CAUSES,Hypomagnesemia
Rabeprazole,CAUSES,Clostridium difficile-associated diarrhea
Rabeprazole,CAUSES,Headache
Rabeprazole,CAUSES,Osteoporosis risk
Dexlansoprazole,TARGETS,H+/K+-ATPase
Dexlansoprazole,METABOLIZED_BY,CYP2C19
Dexlansoprazole,METABOLIZED_BY,CYP3A4
Dexlansoprazole,TRANSPORTED_BY,P-glycoprotein (P-gp)
Dexlansoprazole,PARTICIPATES_IN,Gastric acid secretion pathway
Dexlansoprazole,CAUSES,Hypomagnesemia
Dexlansoprazole,CAUSES,Clostridium difficile-associated diarrhea
Dexlansoprazole,CAUSES,Headache
Dexlansoprazole,CAUSES,Osteoporosis risk
Metoprolol,TARGETS,Beta-1 adrenergic receptor
Metoprolol,TARGETS,Beta-2 adrenergic receptor
Metoprolol,METABOLIZED_BY,CYP2D6
Metoprolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Metoprolol,PARTICIPATES_IN,Adrenergic signaling pathway
Metoprolol,CAUSES,Bradycardia
Metoprolol,CAUSES,Fatigue
Metoprolol,CAUSES,Bronchospasm
Metoprolol,CAUSES,Insomnia
Metoprolol,CAUSES,Cold extremities
Atenolol,TARGETS,Beta-1 adrenergic receptor
Atenolol,TARGETS,Beta-2 adrenergic receptor
Atenolol,METABOLIZED_BY,CYP2D6
Atenolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Atenolol,PARTICIPATES_IN,Adrenergic signaling pathway
Atenolol,CAUSES,Bradycardia
Atenolol,CAUSES,Fatigue
Atenolol,CAUSES,Bronchospasm
Atenolol,CAUSES,Insomnia
Atenolol,CAUSES,Cold extremities
Propranolol,TARGETS,Beta-1 adrenergic receptor
Propranolol,TARGETS,Beta-2 adrenergic receptor
Propranolol,METABOLIZED_BY,CYP2D6
Propranolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Propranolol,PARTICIPATES_IN,Adrenergic signaling pathway
Propranolol,CAUSES,Bradycardia
Propranolol,CAUSES,Fatigue
Propranolol,CAUSES,Bronchospasm
Propranolol,CAUSES,Insomnia
Propranolol,CAUSES,Cold extremities
Carvedilol,TARGETS,Beta-1 adrenergic receptor
Carvedilol,TARGETS,Beta-2 adrenergic receptor
Carvedilol,METABOLIZED_BY,CYP2D6
Carvedilol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Carvedilol,PARTICIPATES_IN,Adrenergic signaling pathway
Carvedilol,CAUSES,Bradycardia
Carvedilol,CAUSES,Fatigue
Carvedilol,CAUSES,Bronchospasm
Carvedilol,CAUSES,Insomnia
Carvedilol,CAUSES,Cold extremities
Bisoprolol,TARGETS,Beta-1 adrenergic receptor
Bisoprolol,TARGETS,Beta-2 adrenergic receptor
Bisoprolol,METABOLIZED_BY,CYP2D6
Bisoprolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Bisoprolol,PARTICIPATES_IN,Adrenergic signaling pathway
Bisoprolol,CAUSES,Bradycardia
Bisoprolol,CAUSES,Fatigue
Bisoprolol,CAUSES,Bronchospasm
Bisoprolol,CAUSES,Insomnia
Bisoprolol,CAUSES,Cold extremities
Nebivolol,TARGETS,Beta-1 adrenergic receptor
Nebivolol,TARGETS,Beta-2 adrenergic receptor
Nebivolol,METABOLIZED_BY,CYP2D6
Nebivolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Nebivolol,PARTICIPATES_IN,Adrenergic signaling pathway
Nebivolol,CAUSES,Bradycardia
Nebivolol,CAUSES,Fatigue
Nebivolol,CAUSES,Bronchospasm
Nebivolol,CAUSES,Insomnia
Nebivolol,CAUSES,Cold extremities
Labetalol,TARGETS,Beta-1 adrenergic receptor
Labetalol,TARGETS,Beta-2 adrenergic receptor
Labetalol,METABOLIZED_BY,CYP2D6
Labetalol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Labetalol,PARTICIPATES_IN,Adrenergic signaling pathway
Labetalol,CAUSES,Bradycardia
Labetalol,CAUSES,Fatigue
Labetalol,CAUSES,Bronchospasm
Labetalol,CAUSES,Insomnia
Labetalol,CAUSES,Cold extremities
Nadolol,TARGETS,Beta-1 adrenergic receptor
Nadolol,TARGETS,Beta-2 adrenergic receptor
Nadolol,METABOLIZED_BY,CYP2D6
Nadolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Nadolol,PARTICIPATES_IN,Adrenergic signaling pathway
Nadolol,CAUSES,Bradycardia
Nadolol,CAUSES,Fatigue
Nadolol,CAUSES,Bronchospasm
Nadolol,CAUSES,Insomnia
Nadolol,CAUSES,Cold extremities
Esmolol,TARGETS,Beta-1 adrenergic receptor
Esmolol,TARGETS,Beta-2 adrenergic receptor
Esmolol,METABOLIZED_BY,CYP2D6
Esmolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Esmolol,PARTICIPATES_IN,Adrenergic signaling pathway
Esmolol,CAUSES,Bradycardia
Esmolol,CAUSES,Fatigue
Esmolol,CAUSES,Bronchospasm
Esmolol,CAUSES,Insomnia
Esmolol,CAUSES,Cold extremities
Timolol,TARGETS,Beta-1 adrenergic receptor
Timolol,TARGETS,Beta-2 adrenergic receptor
Timolol,METABOLIZED_BY,CYP2D6
Timolol,TRANSPORTED_BY,P-glycoprotein (P-gp)
Timolol,PARTICIPATES_IN,Adrenergic signaling pathway
Timolol,CAUSES,Bradycardia
Timolol,CAUSES,Fatigue
Timolol,CAUSES,Bronchospasm
Timolol,CAUSES,Insomnia
Timolol,CAUSES,Cold extremities
Amlodipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Amlodipine,METABOLIZED_BY,CYP3A4
Amlodipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Amlodipine,PARTICIPATES_IN,Calcium signaling pathway
Amlodipine,CAUSES,Peripheral edema
Amlodipine,CAUSES,Dizziness
Amlodipine,CAUSES,Flushing
Amlodipine,CAUSES,Headache
Amlodipine,CAUSES,Bradycardia (non-DHPs)
Nifedipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Nifedipine,METABOLIZED_BY,CYP3A4
Nifedipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Nifedipine,PARTICIPATES_IN,Calcium signaling pathway
Nifedipine,CAUSES,Peripheral edema
Nifedipine,CAUSES,Dizziness
Nifedipine,CAUSES,Flushing
Nifedipine,CAUSES,Headache
Nifedipine,CAUSES,Bradycardia (non-DHPs)
Diltiazem,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Diltiazem,METABOLIZED_BY,CYP3A4
Diltiazem,TRANSPORTED_BY,P-glycoprotein (P-gp)
Diltiazem,PARTICIPATES_IN,Calcium signaling pathway
Diltiazem,CAUSES,Peripheral edema
Diltiazem,CAUSES,Dizziness
Diltiazem,CAUSES,Flushing
Diltiazem,CAUSES,Headache
Diltiazem,CAUSES,Bradycardia (non-DHPs)
Verapamil,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Verapamil,METABOLIZED_BY,CYP3A4
Verapamil,TRANSPORTED_BY,P-glycoprotein (P-gp)
Verapamil,PARTICIPATES_IN,Calcium signaling pathway
Verapamil,CAUSES,Peripheral edema
Verapamil,CAUSES,Dizziness
Verapamil,CAUSES,Flushing
Verapamil,CAUSES,Headache
Verapamil,CAUSES,Bradycardia (non-DHPs)
Felodipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Felodipine,METABOLIZED_BY,CYP3A4
Felodipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Felodipine,PARTICIPATES_IN,Calcium signaling pathway
Felodipine,CAUSES,Peripheral edema
Felodipine,CAUSES,Dizziness
Felodipine,CAUSES,Flushing
Felodipine,CAUSES,Headache
Felodipine,CAUSES,Bradycardia (non-DHPs)
Isradipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Isradipine,METABOLIZED_BY,CYP3A4
Isradipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Isradipine,PARTICIPATES_IN,Calcium signaling pathway
Isradipine,CAUSES,Peripheral edema
Isradipine,CAUSES,Dizziness
Isradipine,CAUSES,Flushing
Isradipine,CAUSES,Headache
Isradipine,CAUSES,Bradycardia (non-DHPs)
Nicardipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Nicardipine,METABOLIZED_BY,CYP3A4
Nicardipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Nicardipine,PARTICIPATES_IN,Calcium signaling pathway
Nicardipine,CAUSES,Peripheral edema
Nicardipine,CAUSES,Dizziness
Nicardipine,CAUSES,Flushing
Nicardipine,CAUSES,Headache
Nicardipine,CAUSES,Bradycardia (non-DHPs)
Nisoldipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Nisoldipine,METABOLIZED_BY,CYP3A4
Nisoldipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Nisoldipine,PARTICIPATES_IN,Calcium signaling pathway
Nisoldipine,CAUSES,Peripheral edema
Nisoldipine,CAUSES,Dizziness
Nisoldipine,CAUSES,Flushing
Nisoldipine,CAUSES,Headache
Nisoldipine,CAUSES,Bradycardia (non-DHPs)
Clevidipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Clevidipine,METABOLIZED_BY,CYP3A4
Clevidipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Clevidipine,PARTICIPATES_IN,Calcium signaling pathway
Clevidipine,CAUSES,Peripheral edema
Clevidipine,CAUSES,Dizziness
Clevidipine,CAUSES,Flushing
Clevidipine,CAUSES,Headache
Clevidipine,CAUSES,Bradycardia (non-DHPs)
Nimodipine,TARGETS,L-type voltage-gated calcium channel (CACNA1C)
Nimodipine,METABOLIZED_BY,CYP3A4
Nimodipine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Nimodipine,PARTICIPATES_IN,Calcium signaling pathway
Nimodipine,CAUSES,Peripheral edema
Nimodipine,CAUSES,Dizziness
Nimodipine,CAUSES,Flushing
Nimodipine,CAUSES,Headache
Nimodipine,CAUSES,Bradycardia (non-DHPs)
Fluoxetine,TARGETS,Serotonin transporter (SERT)
Fluoxetine,METABOLIZED_BY,CYP2D6
Fluoxetine,METABOLIZED_BY,CYP2C19
Fluoxetine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Fluoxetine,PARTICIPATES_IN,Serotonergic neurotransmission pathway
Fluoxetine,CAUSES,Nausea
Fluoxetine,CAUSES,Sexual dysfunction
Fluoxetine,CAUSES,Insomnia
Fluoxetine,CAUSES,Serotonin syndrome
Fluoxetine,CAUSES,Weight changes
Sertraline,TARGETS,Serotonin transporter (SERT)
Sertraline,METABOLIZED_BY,CYP2D6
Sertraline,METABOLIZED_BY,CYP2C19
Sertraline,TRANSPORTED_BY,P-glycoprotein (P-gp)
Sertraline,PARTICIPATES_IN,Serotonergic neurotransmission pathway
Sertraline,CAUSES,Nausea
Sertraline,CAUSES,Sexual dysfunction
Sertraline,CAUSES,Insomnia
Sertraline,CAUSES,Serotonin syndrome
Sertraline,CAUSES,Weight changes
Paroxetine,TARGETS,Serotonin transporter (SERT)
Paroxetine,METABOLIZED_BY,CYP2D6
Paroxetine,METABOLIZED_BY,CYP2C19
Paroxetine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Paroxetine,PARTICIPATES_IN,Serotonergic neurotransmission pathway
Paroxetine,CAUSES,Nausea
Paroxetine,CAUSES,Sexual dysfunction
Paroxetine,CAUSES,Insomnia
Paroxetine,CAUSES,Serotonin syndrome
Paroxetine,CAUSES,Weight changes
Citalopram,TARGETS,Serotonin transporter (SERT)
Citalopram,METABOLIZED_BY,CYP2D6
Citalopram,METABOLIZED_BY,CYP2C19
Citalopram,TRANSPORTED_BY,P-glycoprotein (P-gp)
Citalopram,PARTICIPATES_IN,Serotonergic neurotransmission pathway
Citalopram,CAUSES,Nausea
Citalopram,CAUSES,Sexual dysfunction
Citalopram,CAUSES,Insomnia
Citalopram,CAUSES,Serotonin syndrome
Citalopram,CAUSES,Weight changes
Escitalopram,TARGETS,Serotonin transporter (SERT)
Escitalopram,METABOLIZED_BY,CYP2D6
Escitalopram,METABOLIZED_BY,CYP2C19
Escitalopram,TRANSPORTED_BY,P-glycoprotein (P-gp)
Escitalopram,PARTICIPATES_IN,Serotonergic neurotransmission pathway
Escitalopram,CAUSES,Nausea
Escitalopram,CAUSES,Sexual dysfunction
Escitalopram,CAUSES,Insomnia
Escitalopram,CAUSES,Serotonin syndrome
Escitalopram,CAUSES,Weight changes
Fluvoxamine,TARGETS,Serotonin transporter (SERT)
Fluvoxamine,METABOLIZED_BY,CYP2D6
Fluvoxamine,METABOLIZED_BY,CYP2C19
Fluvoxamine,TRANSPORTED_BY,P-glycoprotein (P-gp)
Fluvoxamine,PARTICIPATES_IN,Serotonergic neurotransmission pathway
Fluvoxamine,CAUSES,Nausea
Fluvoxamine,CAUSES,Sexual dysfunction
Fluvoxamine,CAUSES,Insomnia
Fluvoxamine,CAUSES,Serotonin syndrome
Fluvoxamine,CAUSES,Weight changes
Ciprofloxacin,TARGETS,DNA gyrase
Ciprofloxacin,TARGETS,Topoisomerase IV
Ciprofloxacin,METABOLIZED_BY,CYP1A2 (inhibitor)
Ciprofloxacin,TRANSPORTED_BY,MATE1
Ciprofloxacin,TRANSPORTED_BY,OAT3
Ciprofloxacin,PARTICIPATES_IN,Bacterial DNA replication
Ciprofloxacin,CAUSES,Tendon rupture
Ciprofloxacin,CAUSES,QTc prolongation
Ciprofloxacin,CAUSES,Aortic aneurysm risk
Ciprofloxacin,CAUSES,Dysglycemia
Levofloxacin,TARGETS,DNA gyrase
Levofloxacin,TARGETS,Topoisomerase IV
Levofloxacin,METABOLIZED_BY,CYP1A2 (inhibitor)
Levofloxacin,TRANSPORTED_BY,MATE1
Levofloxacin,TRANSPORTED_BY,OAT3
Levofloxacin,PARTICIPATES_IN,Bacterial DNA replication
Levofloxacin,CAUSES,Tendon rupture
Levofloxacin,CAUSES,QTc prolongation
Levofloxacin,CAUSES,Aortic aneurysm risk
Levofloxacin,CAUSES,Dysglycemia
Moxifloxacin,TARGETS,DNA gyrase
Moxifloxacin,TARGETS,Topoisomerase IV
Moxifloxacin,METABOLIZED_BY,CYP1A2 (inhibitor)
Moxifloxacin,TRANSPORTED_BY,MATE1
Moxifloxacin,TRANSPORTED_BY,OAT3
Moxifloxacin,PARTICIPATES_IN,Bacterial DNA replication
Moxifloxacin,CAUSES,Tendon rupture
Moxifloxacin,CAUSES,QTc prolongation
Moxifloxacin,CAUSES,Aortic aneurysm risk
Moxifloxacin,CAUSES,Dysglycemia
Ofloxacin,TARGETS,DNA gyrase
Ofloxacin,TARGETS,Topoisomerase IV
Ofloxacin,METABOLIZED_BY,CYP1A2 (inhibitor)
Ofloxacin,TRANSPORTED_BY,MATE1
Ofloxacin,TRANSPORTED_BY,OAT3
Ofloxacin,PARTICIPATES_IN,Bacterial DNA replication
Ofloxacin,CAUSES,Tendon rupture
Ofloxacin,CAUSES,QTc prolongation
Ofloxacin,CAUSES,Aortic aneurysm risk
Ofloxacin,CAUSES,Dysglycemia
Gemifloxacin,TARGETS,DNA gyrase
Gemifloxacin,TARGETS,Topoisomerase IV
Gemifloxacin,METABOLIZED_BY,CYP1A2 (inhibitor)
Gemifloxacin,TRANSPORTED_BY,MATE1
Gemifloxacin,TRANSPORTED_BY,OAT3
Gemifloxacin,PARTICIPATES_IN,Bacterial DNA replication
Gemifloxacin,CAUSES,Tendon rupture
Gemifloxacin,CAUSES,QTc prolongation
Gemifloxacin,CAUSES,Aortic aneurysm risk
Gemifloxacin,CAUSES,Dysglycemia
Norfloxacin,TARGETS,DNA gyrase
Norfloxacin,TARGETS,Topoisomerase IV
Norfloxacin,METABOLIZED_BY,CYP1A2 (inhibitor)
Norfloxacin,TRANSPORTED_BY,MATE1
Norfloxacin,TRANSPORTED_BY,OAT3
Norfloxacin,PARTICIPATES_IN,Bacterial DNA replication
Norfloxacin,CAUSES,Tendon rupture
Norfloxacin,CAUSES,QTc prolongation
Norfloxacin,CAUSES,Aortic aneurysm risk
Norfloxacin,CAUSES,Dysglycemia
Delafloxacin,TARGETS,DNA gyrase
Delafloxacin,TARGETS,Topoisomerase IV
Delafloxacin,METABOLIZED_BY,CYP1A2 (inhibitor)
Delafloxacin,TRANSPORTED_BY,MATE1
Delafloxacin,TRANSPORTED_BY,OAT3
Delafloxacin,PARTICIPATES_IN,Bacterial DNA replication
Delafloxacin,CAUSES,Tendon rupture
Delafloxacin,CAUSES,QTc prolongation
Delafloxacin,CAUSES,Aortic aneurysm risk
Delafloxacin,CAUSES,Dysglycemia
Metformin,TARGETS,AMP-activated protein kinase (AMPK)
Metformin,METABOLIZED_BY,Not metabolized
Metformin,TRANSPORTED_BY,OCT1
Metformin,TRANSPORTED_BY,OCT2
Metformin,TRANSPORTED_BY,MATE1
Metformin,TRANSPORTED_BY,MATE2-K
Metformin,PARTICIPATES_IN,AMPK signaling
Metformin,PARTICIPATES_IN,Gluconeogenesis inhibition
Metformin,CAUSES,Diarrhea
Metformin,CAUSES,Nausea
Metformin,CAUSES,Lactic acidosis (rare)
Metformin,CAUSES,Vitamin B12 deficiency
Glipizide,TARGETS,Sulfonylurea receptor 1 (SUR1 / ABCC8)
Glipizide,METABOLIZED_BY,CYP2C9
Glipizide,TRANSPORTED_BY,OATP1B1
Glipizide,PARTICIPATES_IN,Insulin secretion pathway
Glipizide,CAUSES,Hypoglycemia
Glipizide,CAUSES,Weight gain
Glipizide,CAUSES,Hypersensitivity reactions
Glimepiride,TARGETS,Sulfonylurea receptor 1 (SUR1 / ABCC8)
Glimepiride,METABOLIZED_BY,CYP2C9
Glimepiride,TRANSPORTED_BY,OATP1B1
Glimepiride,PARTICIPATES_IN,Insulin secretion pathway
